feature,mean_abs_shap
track_genre_encoded,0.1396853703641988
acousticness,0.03363439990414905
energy,0.03202881813654062
duration_min,0.0276370294862591
valence,0.023517691968730107
loudness,0.022861560470120595
energy_dance_ratio,0.019166964872899196
tempo,0.018643911843184504
liveness,0.017653104518714623
danceability,0.016632882714564413
instrumentalness,0.01633937187470258
speechiness,0.01596555376407495
loudness_norm,0.01014451948177507
key,0.007575078361906227
explicit,0.007308644977296287
time_signature,0.007001247352453438
mode,0.0036120140988349053
tempo_bin,0.00196999639634473
